Last Update,Confirmed,Deaths,Recovered,Province/State,Country
discrete,continuous,continuous,continuous,discrete,discrete
,,,,,
1/22/2020 12:00,1.0,0.0,0.0,Anhui,China
1/22/2020 12:00,14.0,0.0,0.0,Beijing,China
1/22/2020 12:00,6.0,0.0,0.0,Chongqing,China
1/22/2020 12:00,1.0,0.0,0.0,Fujian,China
1/22/2020 12:00,0.0,0.0,0.0,Gansu,China
1/22/2020 12:00,26.0,0.0,0.0,Guangdong,China
1/22/2020 12:00,2.0,0.0,0.0,Guangxi,China
1/22/2020 12:00,1.0,0.0,0.0,Guizhou,China
1/22/2020 12:00,4.0,0.0,0.0,Hainan,China
1/22/2020 12:00,1.0,0.0,0.0,Hebei,China
1/22/2020 12:00,0.0,0.0,0.0,Heilongjiang,China
1/22/2020 12:00,5.0,0.0,0.0,Henan,China
1/22/2020 12:00,0.0,0.0,0.0,Hong Kong,China
1/22/2020 12:00,444.0,0.0,0.0,Hubei,China
1/22/2020 12:00,4.0,0.0,0.0,Hunan,China
1/22/2020 12:00,0.0,0.0,0.0,Inner Mongolia,China
1/22/2020 12:00,1.0,0.0,0.0,Jiangsu,China
1/22/2020 12:00,2.0,0.0,0.0,Jiangxi,China
1/22/2020 12:00,0.0,0.0,0.0,Jilin,China
1/22/2020 12:00,2.0,0.0,0.0,Liaoning,China
1/22/2020 12:00,1.0,0.0,0.0,Macau,China
1/22/2020 12:00,1.0,0.0,0.0,Ningxia,China
1/22/2020 12:00,0.0,0.0,0.0,Qinghai,China
1/22/2020 12:00,0.0,0.0,0.0,Shaanxi,China
1/22/2020 12:00,2.0,0.0,0.0,Shandong,China
1/22/2020 12:00,9.0,0.0,0.0,Shanghai,China
1/22/2020 12:00,1.0,0.0,0.0,Shanxi,China
1/22/2020 12:00,5.0,0.0,0.0,Sichuan,China
1/22/2020 12:00,1.0,0.0,0.0,Taiwan,China
1/22/2020 12:00,4.0,0.0,0.0,Tianjin,China
1/22/2020 12:00,0.0,0.0,0.0,Tibet,China
1/22/2020 12:00,1.0,0.0,0.0,Washington,US
1/22/2020 12:00,0.0,0.0,0.0,Xinjiang,China
1/22/2020 12:00,1.0,0.0,0.0,Yunnan,China
1/22/2020 12:00,10.0,0.0,0.0,Zhejiang,China
1/22/2020 12:00,2.0,0.0,0.0,,Japan
1/22/2020 12:00,2.0,0.0,0.0,,Thailand
1/22/2020 12:00,1.0,0.0,0.0,,South Korea
1/23/20 12:00 PM,9.0,0.0,0.0,Anhui,Mainland China
1/23/20 12:00 PM,22.0,0.0,0.0,Beijing,Mainland China
1/23/20 12:00 PM,9.0,0.0,0.0,Chongqing,Mainland China
1/23/20 12:00 PM,5.0,0.0,0.0,Fujian,Mainland China
1/23/20 12:00 PM,2.0,0.0,0.0,Gansu,Mainland China
1/23/20 12:00 PM,32.0,0.0,2.0,Guangdong,Mainland China
1/23/20 12:00 PM,5.0,0.0,0.0,Guangxi,Mainland China
1/23/20 12:00 PM,3.0,0.0,0.0,Guizhou,Mainland China
1/23/20 12:00 PM,5.0,0.0,0.0,Hainan,Mainland China
